vertexNum,edgeNum,iterationNum,maxEdgeDegree,minProcessEdge,percentage,sOriginalDistance,sMinEdgetoProcess,sApprAttrValues,sReduceExecution,sPartialGraphProcess,executionTime,Error
8388608,134215549,0,152947,120,100.000000,0,1,0,0,0,5.956949,2071.854736
8388608,134215549,0,152947,180,100.000000,0,1,0,0,0,5.956945,1993.476685
8388608,134215549,0,152947,240,100.000000,0,1,0,0,0,8.676073,1945.886719
8388608,134215549,0,152947,300,100.000000,0,1,0,0,0,11.932151,1706.091553
8388608,134215549,0,152947,360,100.000000,0,1,0,0,0,11.932993,1932.421875
8388608,134215549,0,152947,420,100.000000,0,1,0,0,0,11.933046,1720.142090
8388608,134215549,0,152947,480,100.000000,0,1,0,0,0,11.933002,1808.904663
8388608,134215549,0,152947,540,100.000000,0,1,0,0,0,11.932995,1590.593628
8388608,134215549,0,152947,0,100.000000,0,0,1,0,0,56.368111,2281.066406
8388608,134215549,0,152947,0,100.000000,0,0,0,1,0,46.392517,299.562469
