vertexNum,edgeNum,iterationNum,maxEdgeDegree,minProcessEdge,percentage,sOriginalDistance,sMinEdgetoProcess,sApprAttrValues,sReduceExecution,sPartialGraphProcess,executionTime,Error
2097152,33552975,6,62430,124,100.000000,0,1,0,0,0,9.017156,556.432983
2097152,33552975,6,62430,248,100.000000,0,1,0,0,0,9.184367,610.882690
2097152,33552975,6,62430,372,100.000000,0,1,0,0,0,17.670649,518.578125
2097152,33552975,6,62430,496,100.000000,0,1,0,0,0,17.744490,541.026489
2097152,33552975,6,62430,620,100.000000,0,1,0,0,0,17.744490,526.038635
2097152,33552975,6,62430,744,100.000000,0,1,0,0,0,17.744490,512.384827
2097152,33552975,6,62430,868,100.000000,0,1,0,0,0,17.744490,465.153839
2097152,33552975,6,62430,992,100.000000,0,1,0,0,0,19.909800,499.010376
2097152,33552975,6,62430,1116,100.000000,0,1,0,0,0,29.537695,436.114594
2097152,33552975,6,62430,0,100.000000,0,0,1,0,0,52.587872,655.692505
2097152,33552975,6,62430,0,100.000000,0,0,0,1,0,0.000000,713.201050
2097152,33552975,5,62430,0,100.000000,0,0,0,1,0,0.000000,691.082642
2097152,33552975,4,62430,0,100.000000,0,0,0,1,0,0.000005,659.168335
2097152,33552975,3,62430,0,100.000000,0,0,0,1,0,0.000679,683.042603
2097152,33552975,2,62430,0,100.000000,0,0,0,1,0,0.085729,684.630859
2097152,33552975,1,62430,0,100.000000,0,0,0,1,0,11.946910,361.274811
2097152,33552975,0,62430,0,100.000000,0,0,0,1,0,50.635719,204.379013
2097152,33552975,6,62430,0,0.900000,0,0,0,0,1,11.943907,401.511078
2097152,33552975,6,62430,0,0.800000,0,0,0,0,1,11.944583,372.928101
2097152,33552975,6,62430,0,0.700000,0,0,0,0,1,11.947720,371.059204
2097152,33552975,6,62430,0,0.600000,0,0,0,0,1,12.015888,419.156036
2097152,33552975,6,62430,0,0.500000,0,0,0,0,1,6.240576,553.735046
2097152,33552975,6,62430,0,0.400000,0,0,0,0,1,11.949149,356.506561
2097152,33552975,6,62430,0,0.300000,0,0,0,0,1,11.948643,361.097687
2097152,33552975,6,62430,0,0.200000,0,0,0,0,1,11.943585,366.018280
2097152,33552975,6,62430,0,0.100000,0,0,0,0,1,11.947123,414.042450
4194304,67107030,6,97735,0,100.000000,1,0,0,0,0,0.000000,1358.463989
4194304,67107030,6,97735,194,100.000000,0,1,0,0,0,10.516288,993.827271
4194304,67107030,6,97735,388,100.000000,0,1,0,0,0,10.536705,1051.335815
4194304,67107030,6,97735,582,100.000000,0,1,0,0,0,19.428106,970.772583
4194304,67107030,6,97735,776,100.000000,0,1,0,0,0,19.428587,860.866638
4194304,67107030,6,97735,970,100.000000,0,1,0,0,0,19.428587,886.564819
4194304,67107030,6,97735,1164,100.000000,0,1,0,0,0,19.428587,906.197388
4194304,67107030,6,97735,1358,100.000000,0,1,0,0,0,19.428587,978.557373
4194304,67107030,6,97735,1552,100.000000,0,1,0,0,0,25.029621,874.145996
4194304,67107030,6,97735,1746,100.000000,0,1,0,0,0,30.863636,813.529846
4194304,67107030,6,97735,0,100.000000,0,0,1,0,0,54.663532,1327.704102
4194304,67107030,6,97735,0,100.000000,0,0,0,1,0,0.000000,1311.640625
4194304,67107030,5,97735,0,100.000000,0,0,0,1,0,0.000000,1394.122437
4194304,67107030,4,97735,0,100.000000,0,0,0,1,0,0.000003,1619.067505
4194304,67107030,3,97735,0,100.000000,0,0,0,1,0,0.000656,1436.295288
4194304,67107030,2,97735,0,100.000000,0,0,0,1,0,0.079899,1299.437378
